riu	295
xiet	294
due	292
diec	289
mich	289
luom	289
ngut	284
ngom	284
phinh	284
loay	284
sit	283
giun	282
sum	278
rich	277
buot	277
reu	277
xiec	276
ky	276
lem	275
nhich	272
riet	271
xoe	270
khet	269
miu	266
vỹ	263
xoang	262
sui	256
vip	253
let	251
rem	249
chieng	243
tep	242
thin	241
khoet	241
dim	240
hoe	238
mup	237
triu	234
quac	234
tuon	233
oe	233
sec	230
loe	228
uom	227
vam	227
toang	224
dup	222
xum	218
nhoa	218
thui	216
nhong	215
thiu	214
lep	213
chun	213
hiu	212
khit	211
rin	210
venh	210
nin	209
nguu	207
kheu	207
tỳ	205
khieng	202
phich	202
thun	201
goa	197
vin	197
phach	197
ỷ	195
duan	192
huou	191
hỷ	189
phui	189
thut	189
tech	188
pun	188
boong	182
nia	180
num	178
ngheu	177
denh	177
khom	175
rop	175
um	173
gium	172
kan	171
rum	169
suyen	169
nhem	168
voan	167
doai	166
nup	165
ngop	163
bip	162
tria	160
hip	159
inh	159
nhum	157
ruom	156
trui	156
nhinh	155
giem	155
tuat	154
gheo	154
tret	154
toe	153
soai	152
chuon	152
xieu	147
ue	144
din	144
nhech	144
ngoac	144
nhim	143
truat	138
xue	137
nhep	134
ghim	134
liec	131
nghech	131
uan	131
xiem	130
xoong	130
roc	130
cuom	129
gie	129
xien	127
beng	125
hich	124
mỵ	124
guoc	124
tun	124
pheo	123
kech	120
pan	120
viu	119
khenh	119
dop	118
rim	115
choe	113
lỵ	113
loanh	112
mop	111
vich	111
khua	109
nhoai	108
ghenh	108
ngun	108
tec	108
hin	107
quo	106
toac	106
gieu	106
meu	106
queo	104
duom	102
trap	101
mum	101
thop	100
ring	99
ngoanh	99
tuom	99
xup	98
phom	98
kao	96
khuech	93
phiem	93
phiet	93
khuoc	92
biem	92
khuỷu	92
nghit	91
gut	88
rieu	88
xuýt	87
gien	85
pac	85
duot	84
trit	84
chuom	84
biec	84
him	83
nhoe	82
truu	82
henh	80
toet	79
nhiu	77
xia	76
nuom	74
ngum	74
lup	74
truon	73
truan	73
nuop	73
sieng	71
xech	71
beu	70
thiec	70
ngoa	69
tuýt	68
tenh	68
ngoay	68
nhiec	68
hup	68
xeng	67
kit	67
quỵt	66
noan	66
khuy	66
keng	65
ghem	64
ỳ	64
choai	64
phiu	63
hoen	62
leng	62
oam	61
mooc	60
pang	60
ruy	60
rech	60
quap	59
thenh	59
eng	59
toanh	58
duat	58
nuou	58
thuon	56
bum	55
siu	55
phuy	54
giuoc	54
xuyet	54
dit	54
ngoeo	54
thoan	53
tup	52
ngup	51
khuu	51
vooc	51
thuom	50
khuang	49
dieng	48
nhit	47
teu	46
nhuy	44
thim	44
nghiu	44
kang	43
hý	42
nieng	41
nguay	41
sooc	41
doang	41
ngoe	40
giut	40
ngoam	40
huýt	39
khiu	39
choac	38
kai	38
nguech	38
pia	38
seu	37
khem	37
oach	37
ec	37
oang	37
ghien	36
sop	35
lec	35
nhop	34
toong	34
nghim	34
khui	34
pheu	34
soang	33
nhui	32
huoi	32
uoi	32
xieng	32
vau	32
quýnh	31
ngoang	31
khuot	31
choan	31
liep	30
phoc	30
nhoen	30
huo	30
ruon	29
pieu	29
bech	29
bec	29
xenh	29
khoeo	28
sem	28
ku	28
senh	27
rep	26
khoay	26
quit	26
chach	26
tuyn	26
choong	25
quam	25
tuenh	25
loong	25
xoac	24
khuỵu	24
khum	24
nhoet	23
hech	22
tuech	22
huých	22
thum	21
nguýt	21
niet	21
pich	21
pheng	21
muom	20
peng	20
noong	20
pet	20
thup	20
nuy	20
ghiec	19
thech	19
khot	19
ỹ	18
xuy	18
oac	18
cheng	17
vuoc	17
coong	17
xut	16
chuy	16
xoach	15
xoanh	15
choat	15
uỳnh	14
phuon	14
soa	14
khec	14
dy	14
hỳ	14
chuech	13
nhach	13
nhuon	13
phum	13
reng	13
panh	13
choa	13
trun	13
sue	13
xoet	13
enh	13
veu	12
pom	12
mech	12
moong	12
pung	12
quyn	12
trieng	11
phec	11
soong	11
huenh	11
mip	11
vem	10
huom	10
hoam	10
huỵch	10
rup	9
phech	9
trech	9
phop	9
quenh	9
xun	9
quao	9
phenh	9
khoen	9
khuou	9
choet	9
koi	8
duon	8
chuenh	8
sia	8
phieng	8
pau	7
sip	7
hieng	7
quau	7
ỵ	7
nhoay	6
khoam	6
muou	6
heu	6
dach	6
khin	5
luýnh	5
riem	5
ngoen	5
pui	5
bem	5
uỵch	5
vop	5
xeu	4
nhoong	4
neng	4
ghech	4
xoam	4
oap	4
hoong	4
ngoet	4
chuop	4
nenh	4
tuop	4
trem	3
toen	3
nhoam	3
queu	3
cooc	3
phua	3
suỵt	3
meng	3
xoen	3
eu	3
pon	3
kiu	3
loen	3
hoet	3
tuya	2
yeng	2
xuenh	2
peo	2
khoong	2
nhia	1
pech	1
nheu	1
luyn	1
thuoi	1
guot	1
